"","DW01P02","DW01P03","DW01P04","DW01P05","DW01P06","DW01P17","DW01P18","DW01P19","DW01P20","DW01P21","DW01P22","DW01P23","DW01P24","DW01P25","DW01P26","DW01P27","DW01P28","DW01P29","EP01P02","EP01P03","EP01P04","EP01P05","EP01P06","EP01P17","EP01P18","EP01P19","EP01P20","EP01P21","EP01P22","EP01P23","EP01P24","EP01P25","EP01P26","EP01P27","EP01P28","EP01P29","EP02P02","EP02P03","EP02P06","EP02P17","EP02P22","EP02P23","EP02P24","EP02P25","EP02P26","EP02P29","EP03P03","EP03P17","EP03P25","EP04P17","SL01P03","SL01P06","SL01P17","SL01P19","SL01P20","SL01P21","SL01P22","SL01P23","SL01P24","SL01P25","SL01P26","SL01P27","SL01P28","SL01P29"
"plagiomnium affine"," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," ","+"," "," "," "," "," "," "," "," "," "
"plagiomnium affine cf."," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "," "," "," "
"plagiomnium undulatum"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","+"," "," "," "," "," "," "," "," "," ","2"," "," "
"plagiothecium laetum"," "," "," ","4"," "," ","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"pleurozium schreberi"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "
"polytrichum formosum"," ","r"," "," ","r"," "," "," "," ","r"," "," "," ","+"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","r","+"," ","1"," "," ","+","r","1","r","1","1"," ","1"
"rhizomnium punctatum"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","2"," "," "," "," "," "," "," "," "," "," "
"rhytidiadelphus squarrosus"," "," "," "," "," "," "," ","r"," "," "," "," "," ","4"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","2","r","2"," "," "," ","1"," "," "," "," "
"scapania nemorosa cf."," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"scleropodium purum"," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1","2","2"," "," "," ","+"," ","1"," "," "
"thuidium tamariscinum"," "," "," "," "," "," "," "," "," "," "," "," "," ","+"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"ulota crispa"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"x"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","r","r"," "," ","r"," "," "," "," "," "," "," "," "," "," "," "," ","r","2"," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
